TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
131,-331.3827260662348,420.0383298952046,34.68954681261343,-281.9665124022672,-252.99129308081882,2433.098790603294,1567.3572975610414,916.6055863700512
132,-353.7620765402909,475.76450086355896,50.5549213216374,-298.1163293695786,-263.37997158142707,2650.552705407136,1706.8062050553558,995.9086224652532
133,-370.79284910658953,531.1353582604881,68.76858553204141,-311.1000739938527,-271.18609593922537,2861.0938318755852,1842.236075174586,1074.0075423476737
134,-390.2424048462798,570.3811724599552,72.70099592830935,-327.6858114956236,-284.78613953544755,3046.1785215736436,1958.216631793467,1146.4260763348018
135,-410.2826108060392,608.5231492811828,77.40051847199042,-347.1018379593413,-298.20585458778714,3218.3879828222034,2065.72396997687,1211.7059033362527
136,-427.5329584260427,648.8299711092427,87.33747104458469,-365.634039862881,-307.0703048854099,3380.4652756036116,2168.538088870185,1270.2918692055337
137,-446.4949412525408,675.8944419364507,88.55955886076474,-385.0750302964494,-320.2233899107272,3518.768808479107,2254.467477262046,1321.192221571269
138,-466.08667275579296,699.9293483053605,93.3444727097118,-404.56431018226453,-337.23319567293095,3648.1916755064412,2333.5086756831424,1365.7468688242498
139,-479.60674271611146,733.5138611190391,115.56612839397135,-419.3916162888344,-349.44969974223756,3785.2552566667246,2419.1931992413374,1407.589797351187
140,-490.5663548949028,758.5116024504946,134.78711430944733,-431.42927620271666,-361.09363497716134,3909.852904032533,2495.7825579478767,1446.8091309098158
141,-504.38926612546754,770.3787725631798,142.28720780084626,-444.41758882071156,-376.47648094153305,4012.048794726362,2555.372690319313,1481.6949196963085
142,-516.0245823938953,788.4354170653653,156.13373058636805,-455.29035491654884,-387.97928022333895,4109.3351130139345,2613.6051204452597,1513.111463573891
143,-523.8781959109655,807.1633767052172,171.66945539269153,-462.60525777020905,-396.30104595154233,4197.132719148232,2667.838973442789,1540.6075802061137
144,-533.4032290794892,814.3042594791461,175.82175712802277,-469.4103427731351,-408.6324374746687,4262.3932679534855,2706.52896836898,1561.524156563853
145,-541.8390617358755,826.9568187584898,184.20134299191812,-473.4198209478586,-417.0743171233801,4321.1847916647885,2742.253964285309,1576.6936740588342
146,-545.0739234902334,849.0520534938443,200.02543510634337,-471.2112832105339,-413.5897041621436,4377.007355575763,2778.570967765896,1588.5161227578951
