TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
157,-609.5790055151697,24.364317352076686,-167.70891897338748,104.76051414411404,-568.9409826767528,4332.474493430286,7133.064567825546,-717.1038517298263
158,-603.7472431605207,35.62785155737485,-166.7163706656263,100.83167208951012,-535.9314959436201,4255.025622472089,7009.1035900268325,-708.602283830741
159,-593.7758805660126,45.96541653533808,-165.0304627800584,106.67956808876528,-495.39944773918097,4171.725033591603,6873.937678801616,-692.3586404003776
160,-585.1745245618841,39.17944344801789,-178.68753740017303,101.2411845585739,-470.9225390783961,4068.0252808202827,6712.142881454718,-684.153079031461
161,-571.6774487424407,45.95557399161624,-171.18318250049202,94.72752149403615,-447.93822832669576,3980.902102438062,6559.934271812794,-667.6553943943328
162,-551.6158590161782,62.11083985697665,-143.0497032255709,85.07439638768949,-427.72761154497414,3911.136299579529,6416.940054224755,-639.8575415412677
163,-536.0242614321778,49.29962223666168,-136.63049115332365,47.40630481705814,-437.3978672417153,3817.6742038121906,6242.712550890559,-625.6088392717318
164,-523.8106156827251,27.485207885692613,-136.74445342253577,1.2153614175688077,-456.87893626656864,3714.2333650911414,6054.602561118814,-617.9913591629856
165,-505.29617122879534,28.902275445285454,-115.97429729696847,-14.882802857367134,-448.68881211824714,3625.8075525248305,5881.956605159507,-595.2791500099037
166,-485.3631232012148,30.35084439380225,-104.67040259447889,-10.908793709690215,-425.16210695084396,3521.1638740722083,5696.36819616958,-572.2545912574255
167,-469.53571797704404,27.299189260565537,-108.73038766930209,-3.250427860837487,-398.07435240633953,3393.6277872644714,5492.09156859315,-558.7634081582453
168,-451.10552921729965,48.1101350173615,-92.921986171108,18.254875866660402,-351.84806333995306,3278.185926961552,5302.593835328317,-535.6903570542686
169,-431.3907901265371,71.87383588984667,-73.37248093499502,38.95251677074327,-304.44047908418725,3161.1733119869496,5110.909714219643,-508.2028700430544
170,-418.2083207711108,68.89607049081893,-78.94887884046686,33.10196007525164,-285.2497064554598,3016.770867535216,4888.830092421742,-495.63601594648355
171,-404.6109330363059,67.9177752022349,-78.20079457234112,19.106978663602348,-274.11428771489216,2877.926606357503,4668.633367438437,-481.3842494918979
172,-383.66809853487774,81.24407079237331,-58.71025589903465,15.657858021376112,-253.48629801901603,2758.3539490090398,4464.283474532124,-452.1110690189845
173,-363.93175232207227,77.69160893648746,-56.29434213732105,4.3337607970143965,-244.9756835407515,2623.3167345470038,4242.315663523728,-428.05442989280675
174,-347.47874193455254,67.08295940807866,-61.39297061113329,-13.098550700717954,-244.9280700632406,2481.5145671597647,4013.2359651206166,-409.5409596973293
175,-326.68226920003656,73.53305194463911,-46.50184477405281,-15.437148284478734,-231.07211446554385,2359.0759512215827,3804.064138690981,-379.74955322723025
176,-305.8514459307064,67.37912358484948,-42.18168171630984,-18.64791702645994,-222.55829121987767,2225.3306010693286,3583.930169433976,-354.3543890424743
177,-289.8839880550996,38.52660998191037,-59.07137723072802,-36.94566575732449,-231.90787157075493,2069.411409904526,3341.69061150849,-343.57448924727566
178,-269.55867601499176,26.190080837968292,-54.61981332825903,-45.75011997124039,-229.38875198774383,1933.7467769346724,3119.4207265307205,-321.7134718479019
179,-243.84192758898257,25.264153845858946,-35.26610352361704,-43.34738292990357,-214.47555500236587,1814.0287701520551,2912.207290983888,-286.82712874946185
180,-223.4690037460247,5.308933592569502,-37.17529376657515,-53.69080511507535,-213.4370229874237,1676.2902889236627,2686.511542535841,-262.89158483125703
181,-206.5626161058143,-11.38062098540826,-40.088699826105994,-63.517391420949195,-210.4114122776183,1539.8430507764488,2463.5529385342325,-243.15518813485994
182,-186.92933462954062,-10.54224050405011,-31.57365551118937,-53.64029776169613,-186.00180481667448,1414.7523907125492,2255.3998895337595,-217.4813650357229
183,-170.91291471609173,-21.557306389031535,-44.734609599232726,-42.91295692562738,-161.1892693371699,1266.4412736609274,2028.6327463425998,-204.5395652345525
184,-158.86632783546577,-34.08853477408664,-65.90682577314637,-35.1509866651224,-137.41860392196588,1107.80506555012,1796.100810345178,-200.31607870452117
185,-141.19730575412754,-17.529640039770896,-55.75446397303205,-12.377130276169709,-96.14431922841902,979.586899546608,1596.6004558778943,-178.45593666930654
186,-121.64566848416774,-1.5469730447979622,-40.70096415077724,5.485633383267241,-63.00002003244033,859.6512536989854,1405.0295153895763,-149.78128403459294
187,-108.21288386037085,-10.680404404714178,-45.841188810240396,-6.147154331826883,-64.10996073385728,726.1535390276939,1197.9337454833744,-133.97383290212196
188,-93.42929674598183,-13.814685356993989,-38.902523039763615,-26.557296675489358,-74.59102164802617,612.0981019642272,1008.1124191639992,-114.96585799892051
189,-73.70425927877639,-9.073410140379984,-20.127611547503946,-44.33597012946092,-82.60285276291063,517.457143688997,835.8245425820514,-88.65101942343168
190,-58.296166062541296,-21.919249599951865,-20.646574106983707,-73.45900560552336,-102.78729039824984,409.7861405798368,650.4096347570687,-74.6203535102892
191,-46.199683986518274,-28.283354700099554,-17.895809354614432,-94.6096167988913,-112.90753621208052,307.6791911679989,473.63141686992714,-62.37649052552947
192,-31.100173589445355,-11.612300851796181,4.831774396752313,-84.42108083430844,-90.17366556064178,224.5048223021414,321.1829877517425,-36.15931543489234
193,-19.364217425824993,-9.894574312544135,7.0894825410506925,-67.70302988776147,-63.22946400423893,119.35794061169658,152.46253962302427,-16.929525958781902
